id,sender,message_body,category
1002,HDFCBK,"Alert: Rs. 8,740 debited from your HDFC account on 11/27. Ref #AXB98765. If not you, call bank.",banking
1003,ZOMATO,Your order #Z123456 is confirmed. expected delivery in 35 mins. Total Rs. 512.20. thanks for ordering!,promotion
1004,91-9876543210,"Hey yaar, just checking in—U free for coffee tomo? msg me back pls.",personal
1005,OTPSMS,Your verification code 304928 is valid for 10 mins. Do not share with anyone.,otp
1006,ICICIBK,"Dear customer, your card payment of Rs. 1,299 at CoffeeShop was approved. Balance: ₹5,600.",banking
1007,SWIGGY,Exclusive: 25% off on first 2 orders today. Use code WELCOME25. Rs. 0 delivery.,promotion
1008,9001234567,Your package from AMAZON is out for delivery today. Tracking #AMZ987654. ETA 4 PM.,service
1009,UTB,Reminder: your subscription expires on 15 Dec. Renew now to continue service.,service
1010,SBIALERT,OTP for your SBIA online login: 623498. Do not share; this expires in 5 mins.,otp
1011,PAYTM,Rs. 1999 paid to FLIPKRT for order FLP-8877. Thanks for shopping with Paytm.,banking
1012,GOIBIBO,Your flight has been rescheduled to 22 Dec. New PNR: GI-4521. Safe travels!,service
1013,Myntra,Mega sale: upto 70% off on Western wear. Extra 15% off with code NEWLOOK. Rs. 0 COD.,promotion
1014,UBER,Your ride is confirmed. driver Rajesh will arrive in 6 mins. Vehicle ending 2391.,service
1015,AROMA,Hi! Your order from ZOMATO will arrive in 25 mins. Order #ZOT-3321. Rs. 320.,promotion
1016,91-9870001112,"Bro, birthday treat at 8 PM? msg me if you’re in. 😎",personal
1017,VERIFY,Your OTP code is 872643 for your login. Do not share this with anyone.,otp
1018,ICICIBK,"Alert: Rs. 2,500 debited from your account on 11/29 at POS terminal. Ref: POS-4652.",banking
1019,ZOMATO,New restaurant alert: try Spice Garden today. Order now and get Rs. 150 off on orders above Rs. 600.,promotion
1020,IXIGO,"Your train ticket booked. PNR 1234-56789. Class 2A, Rs. 1,200. Safe journey!",service
1021,AXISBK,Your OTP is 487210. Do not share with anyone. This code expires in 5 mins. Msg: OTP for your AXISBK login.,otp
1022,SBIALERT,"Rs. 2,450 debited from your account on 12/11. ICICI Bank alert: Travel alert enabled. Balance: ₹12,800.",banking
1023,ZOMATO,Order #Z12345 confirmed. Delivery by 6:45 pm. Pay on delivery? Total ₹320. 😊,promotion
1024,91-9876543210,"Hey bro, lunch at 1? Also got a good deal on a coupon 😜",personal
1025,VERIFY,Your OTP is 820593 for login to your account. Valid for 10 mins. Do not share.,otp
1026,HDFCBK,₹1500 charged at 5:07 pm on card ending 3456. Ref: TRX123456. For help call 1800-419-4000.,banking
1027,SWIGGY,Order #SWG98765 confirmed. ETA 25 mins. Total ₹289. You can pay via wallet or card.,promotion
1028,911234567890,U r invited to join our loyalty program. Get 15% off on your next order.,promotion
1029,AXISBK,Notice: Your debit card will expire in 30 days. Please update details at secure portal.,service
1030,UBER,Ride booked: ₹120.50 fare from Andheri to Powai. Driver arriving in 3 mins.,service
1031,VERIFY,OTP 493812 for your transaction is valid for 5 minutes. Do not share this code.,otp
1032,MYNTRA,Flash sale: flat 40% off on select kurti sets. Ends tonight. Use code FST40.,promotion
1033,GOIBIBO,"Your flight + hotel package is confirmed. PNR: AG1234, Itinerary emailed. Total ₹15,999.",promotion
1034,ICICIBK,"We detected unusual activity. If not you, call 1800-425-3333 to secure your account.",banking
1035,OLACABS,"Your ride is on the way. ETA 6 mins. Driver: Raj, Car: Swift Dzire. ₹95.",service
1036,OTP-SMS,Your code 726498 is valid for 3 mins. Do not share with anyone.,otp
1037,PAYTM,Your order #PTM11223 has been placed for ₹540. Track at app. ETA 20 mins.,promotion
1038,9XXXXX12345,Free msg: You won a prize! Reply YES to claim. T&C apply.,spam
1039,INDIA-POST,Service alert: Your parcel 1234 arrives today by 4-6 pm. Track via link in app.,service
1040,KOTAKBK,"Balance ₹8,420.50. Last txn: 04:22 PM. Ref: KTK987654. For details, log in to NetBanking.",banking
1041,VERIFY,Your OTP is 483910 for account verification. Do not share it. Time: 12:34.,otp
1042,ICICIBK,"Alert: Rs. 2,450 debited from your A/c ending 4321 on 11/07. Ref #IE9876. If not you, call 1860-425-3344.",banking
1043,ZOMATO,Your order #ZMN123456 is confirmed. ETA 25 mins. Total ₹399. Enjoy your meal! 🍽️,promotion
1044,GOIBIBO,Your flight may get rescheduled. New date: 14 Aug. Check app for details.,service
1045,WHATSUP,"Hi bro, u free for coffee today? Msg me.",personal
1046,SBIALERT,"Your card was used for purchase ₹1,150 at ATM 014. If not you, verify now.",banking
1047,OTPSMS,OTP 792345 for login to your account. Expires in 2 mins.,otp
1048,ULR_PAYTM,Cashback alert: ₹120 on Paytm wallet. Use promo ZINGZERO for 50% extra.,promotion
1049,MRNTRA,Hurry! 40% off on stylish tees. Free shipping on orders over ₹999. Use code FRESH.,promotion
1050,INDIAPOST,Your parcel has shipped. Tracking # UID123456789. Expected delivery by 16 Jul.,service
1051,9XXXXXXX12,"Bro, party at 10! Bring snacks. Msg back.",personal
1052,AXISBK,"Rs. 3,200 debited from your account ending 9009 on 10/07. Ref: AX12345.",banking
1053,SWIGGY,"Your meal is on the way. Order #SWG98765, ETA 18 mins. Total ₹212.",promotion
1054,VERIFY,Your OTP is 658721 for secure access. Do not share it.,otp
1055,MYNTRA,New drop: kurti set at 30% off. Code NEWFIT. Free shipping over ₹799.,promotion
1056,HDFCBK,"Balance alert: Rs. 1,050 debited from A/c ending 1122 on 11 Jul.",banking
1057,UBER,Your ride is confirmed. Driver arrives in 5 mins. ETA 1:05.,service
1058,UTP,You have a new message from WhatsApp. Open app to view.,service
1059,GOIBIBO,"Limited offer: Flight + Hotel from ₹5,999. Book now for savings!",promotion
1060,OTPEX,OTP 327841 for secure login to your bank app. Time limit 3 mins.,otp
1061,AXISBK,Your OTP is 483920 for your online banking login. Do not share it. Issued on 12/11 09:45. Rs. 0.00 charge.,otp
1062,ZOMATO,Order #ZMT12345 confirmed. delivery by 7:15 PM.₹199.00. Thanks for choosing Zomato!,promotion
1063,SBIALERT,"Your last transaction of Rs. 2,540.00 at SB I BANK on 11/12. Ref: 987654. If not you, contact us.",banking
1064,VERIFY,OTP: 874561 for your PayTM login. valid for 10 min. Do not share.,otp
1065,+919812345678,"Hey, just a quick check-in. Movie tonight? 👍",personal
1066,PROMOIX,Limited time offer: up to 50% off on fashion. Use code WELCOME20. Ends soon.,promotion
1067,ICICIBK,"Your account was debited Rs. 1,299.00 on 11/11. Balance: Rs. 8,420.55",banking
1068,INDIGO,"Flight YX678 confirmed. PNR: AB1234. Depart 22 Nov 08:50. ₹5,210 total.",service
1069,MTNL,Airtel bill reminder: Rs. 299 due by 15 Dec. Please pay to avoid late fees.,service
1070,SWIGGY,Your order #SWG98765 is out for delivery. ETA 25 mins. ₹250.00,promotion
1071,UBER,Your ride was canceled by driver. Ref: CANC1234. Fare not charged.,service
1072,KOTAKBK,OTP 492817 for net banking login. valid for 5 mins.,otp
1073,MYNTRA,"Your order #MN67890 shipped. Tracking: MNTR123456789. ₹1,499.00",promotion
1074,RBI,"Bank alert: Rs. 10,000 received from salary. Ref: SAL202411. Balance: Rs. 24,300.75",banking
1075,GOIBIBO,"Your hotel booking confirmed. Booking ID: GK-3219, Check-in 20 Dec. ₹0.00 service fee.",service
1076,OTPSMS,OTP 683210 for verification. Do not share with anyone.,otp
1077,RELIBK,"You paid Rs. 2,150.00 to Reliance Digital. Ref: RD-5012.",banking
1078,FLIPKRT,New season arrivals on FLIPKRT. Free shipping on orders over ₹999.,promotion
1079,10-digit:919876543210,Ur order has been delivered. Thanks for shopping with us.,personal
1080,MAKEMYT,Your payment of Rs. 450.00 for makeup kit went through. Order ID: MK-3344.,promotion
1081,AXISBK,"Your OTP is 483920 for Axis Bank login on 02:15 PM, valid for 5 mins. Do not share.",otp
1082,HDFCBK,"Your transaction of Rs. 2,499.00 at ZOMATO on 02:45 PM is successful. Ref: ZM123456.",banking
1083,ZOMATO,Hi! Your order #ORD987654 is confirmed. ETA: 45 mins. Enjoy ur meal!,promotion
1084,VERIFY,OTP: 874321 for your login to Paytm On-Ups. Do not share with anyone.,otp
1085,+9198******22,"Hey bro, catching up later. Call me when free, pls.",personal
1086,SBIALERT,"Your SBIN debit card was used for Rs. 1,200.50 at AMAZON. If not you, call 1800-xxx-xxxx.",banking
1087,SWIGGY,"Doorstep is on the way! Order #ORD172839 from SWIGGY; ₹199 delivery, ETA 25 mins.",promotion
1088,OTPSMS,Your OTP 123456 for OTP verification is valid for 2 mins. Do not share.,otp
1089,GOIBIBO,Hurry! Your flight PNR AB123 is confirmed. Check-in opens 3 hrs prior.,service
1090,Myntra,Your order #MNTR-5566 shipped. Tracking: MNTRTRACK123. Thanks for shopping with us.,promotion
1091,KOTAKBK,"Alert: Rs. 4,500.00 debited to ICICI Bank Credit Card ending 1234 on 02/11. Statement updated.",banking
1092,OTPSMS,Secure code: 8271 for your 2FA on Flipkart login. Do not share.,otp
1093,ICICIBK,"Your account balance is Rs. 12,480.75. Available as of 02:50 PM today.",banking
1094,UBER,Ride booked. Driver Aryan will arrive in 8 mins. Ride ID UBR-9087.,service
1095,SERVICE,"Reminder: Your bill is due on 08/12. Please pay Rs. 1,200 to avoid service interruption.",service
1096,AIRLINE,"Alert: Your e-ticket for IndiGo 6E-102 is issued. PNR: 6E102A, departure 9:15 PM.",service
1097, paytm,Special offer: Got Rs. 150 cashback on Rs. 1500+ payments. Use code PAYTM50.,promotion
1098,+919899876543,"Hey yaar, party after office? Msg me ur plans.",personal
1099,IXIGO,Your train delay alert: Suburban Express 12433 delayed by 28 mins. New departure: 7:50 PM.,service
1100,LOOT,Caution: You have been selected for a lucky draw! Reply YES to claim. Ts&Cs apply.,spam
1101,VERIFY,Your OTP is 492081 for login. Do not share it with anyone. Valid for 10 min.,otp
1102,AXISBK,"Your balance is Rs. 3,485.60. Last txn +SMS alert. If not you, call us.",banking
1103,ZOMATO,Order #Z22104567 confirmed. ETA 25 mins. Bon Appetit!,promotion
1104,SWIGGY,"Your ride is on the way. Chef special: udupi dosa, ₹210. Pls share feedback.",promotion
1105,HDFCBK,OTP 829101 for card verification. Nxt step: enter on app. ⏱ 5 min expiry,otp
1106,10digit-91XXXX,"Hi, hope u doing well. Lunch at 1 PM? Msg me ur plans.",personal
1107,AMAZON,Your order #AMZ123987 shipped. Tracking: 1Z999AA10123456784,service
1108,NOTIFICATION,"Your account alert: Rs. 12,400 withdrawn from SB Bank. Ref: 987654321",banking
1109,OTP_SENDER,OTP 274910 for Paytm login. Do not share. Msg expires soon.,otp
1110,FLIPKRT,New wishlist item alert: Kurtas up to 35% off. Ends tonight.,promotion
1111,GOIBIBO,"Your flight, IXO123, is delayed by 45 mins. We apologize.",service
1112,MYNTRA,Code 9F8K2 for your order 562389. Free returns within 30 days.,promotion
1113,UBER,Your ride has arrived. Driver name: Aman. Car: Swift Dzire. Rs. 180 total.,service
1114,9digit-91XXXX,"Hey bro, rcvd ur msg. Planning cricket this weekend? 😎",personal
1115,SBIALERT,"Your ₹ savings alert: balance Rs. 8,210.50. Interest credited today.",banking
1116,OTPSMS,Your verification code 651302 for login. Use within 4 minutes.,otp
1117,OLACABS,"Ride booked: OlaGo, pickup T. Nagar, ETA 7 mins.",service
1118,IBREQ,Promo: 20% off on your next ride. Use code SAVE20.,promotion
1119,INDIAPOST,Delivery scheduled: Parcel #IN-334455. ETA 2 days.,service
1120,ZENPAY,Wallet top-up successful: Rs. 500. Remaining balance Rs. 1500.,banking
1121,AXISBK,"Your OTP is 438202 for Rs. 1,500.00 transfer. OTP valid for 10 min. Do not share.",otp
1122,HDFCBK,"Rs. 2,300 has been debited from your account ending 1234. Ref: TRX123456.",banking
1123,ZOMATO,Order #ZMW12345 confirmed. ETA 25 mins. Total ₹520. Enjoy your meal!,promotion
1124,VERIFY,Your OTP is 092176 for login to YourApp. Valid 5 min.,otp
1125,ICICIBK,"Hi! Your for-approval request of Rs. 6,500 is pending. Reply YES to approve.",banking
1126,SWIGGY,🍜 Lunch on the way. Order #SWG9876 delivered by 1:15 PM. Thanks for choosing Swiggy.,promotion
1127,MRNUSER,"Hey yaar, catching up after a long time. When r u free?",personal
1128,SBIALERT,"Alert: Your card was used at POS for Rs. 2,450 on 07/11. If not you, call us.",banking
1129,KOTAKBK,OTP for your login is 568412. Do not share with anyone.,otp
1130,amazon,Your package #AMZ202411 shipped. Tracking: 1Z9999W9999999. ETA 3 days.,service
1131,UBER,Your ride is here. Vehicle no. MH12AB1234. ETA 2 mins.,personal
1132,PAYTM,Promo: Get Rs. 100 cashback on min order Rs. 400. Use code PAYTM100.,promotion
1133,GOIBIBO,"Your flight 9W123 is confirmed. E-ticket to be sent shortly. Total ₹8,500.",service
1134,OTP-SMS,Your OTP 874321 for PayTM login is valid for 8 mins.,otp
1135,ICICI BK,Hi! Rs. 3500 credit to your account AS 9876. Ref: ICIC202411.,banking
1136,OLACABS,"Your ride from Koramangala to MG Road is confirmed. CAB 7AB9, driver AK.",service
1137,MYNTRA,"Your order #MN1234 has shipped. Expect delivery by tomorrow. Amount ₹1,299.",promotion
1138,9XXXXXXXXX,"Hey, pls check this offer for you. Extra data Rs. 200 on recharge.",promotion
1139,INDUSER,Reminder: Your appointment is on 08 Nov at 4 PM. Don’t be late.,service
1140,MR_SCAM,Ur account has suspicious activity. Reply STOP to unsubscribe or call 1800-XXX-XXXX.,spam
1141,VERIFY,Your OTP is 483920 for ₹ transaction. Do not share it. Valid for 10 mins.,otp
1142,AXISBK,"Your account balance is ₹12,450.75 as of today. For new charges contact AXISBK.",banking
1143,ZOMATO,Order #Z12345 confirmed. Delivery by 7:45 PM. ETA 32 mins. Enjoy!,promotion
1144,HDFCBK,"Hi [Name], your card was used for ₹2,150.00 on 04/11. If not you, call 1860-500-5000.",banking
1145,10-digit 9198 765 4321,"Hey yaar, swapping plans tonight? Msg me when free.",personal
1146,OTPSMS,Your OTP 764321 for login to the app expires in 5 mins. Please do not share.,otp
1147,UBER,Your ride is confirmed. Driver John arrives in 8 mins. Fare ₹85.,service
1148,SWIGGY,Food on its way! Order #SG9876 – ₹320. Delivery by 20:15. Thanks for choosing us.,promotion
1149,ICICIBK,"Alert: ₹1,250 charged at ICICI travel on 04/11. If not you, freeze your card.",banking
1150,GOIBIBO,Your flight is confirmed. PNR: XY12AB. Check-in opens 24h before departure.,service
1151,Myntra,"New drops today: kurtis, sneakers, and more. Rs. 799 onwards.",promotion
1152,FLIPKRT,Your order #FK67890 has shipped. Tracking: 1Z999AA10123456789.,service
1153,9-digit 81234 56789,"Bro, pls pick up tea later ja? My schedule is tight.",personal
1154,VERIFY,Your OTP 987654 for secure login is valid for 8 minutes. Do not share.,otp
1155,KAAL,Special offer: Rs. 500 off on your next ride. Use code RIDE500.,promotion
1156,MYNTRA,Your order #MYN12345 is out for delivery. ETA 40 mins. Accepts COD.,service
1157,SBIALERT,Your account is at risk. Please login to SBI Anywhere to verify recent activity.,banking
1158,SPAM123,"Winner! You’ve won ₹10,000. Click link to claim now. T&Cs apply.",spam
1159,OLACABS,Promo: Flat ₹50 off on your next ride. Apply at checkout.,promotion
1160,UTR,Service update: App downtime from 2:00–4:00 AM for maintenance.,service
1161,VERIFY,Your OTP is 482910. Do not share it. It expires in 5 mins.,otp
1162,AXISBK,"Dear customer, your Rs. 1200 debit by card at StoreX on 25/11. Balance: Rs. 5400. Ref: 98765.",banking
1163,ZOMATO,Order #Z12345 confirmed. ETA 25 mins. Pls pay on delivery or via app. Rs. 320.,promotion
1164,OTPSMS,OTP 817364 for login to your account. Valid for 10 mins. 👌,otp
1165,ICICIBK,Alert: Rs. 2500 debited from your account on 24/11 at 9:15 PM. Ref: 5321.,banking
1166,SWIGGY,Your order is out for delivery. Track: 123456789. Amount Rs. 259. Delivery by 8 PM.,promotion
1167,MYNTRA,Sale alert! Flat 15% off on all-menswear. Use code MNY15. Ends soon. ₹150 off min.,promotion
1168,KOTAKBK,We’ve updated Terms & Privacy. Check your inbox for updates.,service
1169,+919876543210,"Hey yaar, wassup? Chalo coffee ke liye time fix karte hain. Msg me ya call karein.",personal
1170,GOIBIBO,Flight 1234 to BLR delayed by 1h. New boarding in 40 mins. Refunds: Rs. 0.00.,service
1171,HDFCBK,Your card is locked after 3 failed attempts. Call 1800-xxx-xxx to unlock.,banking
1172,FLIPKRT,Your order #F9876 shipped. Tracking: 1Z999AA10123456784. ₹499.,promotion
1173,UBER,Ride is here. Driver ETA 3 mins. Fare ₹92.34 from your pick-up.,promotion
1174,OTP-SMS,OTP 294812 for GoIndia login. Do not share with anyone.,otp
1175,INDUSBK,"Salary credited: Rs. 24,000 on 25/11. Ref: SAL-1122.",banking
1176,MAKEMYT,Your order placed: #MY2024-5567. Total Rs. 1820. Delivery by 30 Nov.,service
1177,9xxxx9999,"Arre bhai, kal milte hain at 6? Chai pe charcha.",personal
1178,ZOMATO,New offer: 20% off on all orders with code ZOM20. Min Rs. 199. Limit months.,promotion
1179,OTPX,Your verification code is 560128. Do not share this with anyone.,otp
1180,SBIALERT,Your mini statement: Rs. 4800 credit on 23/11. Balance Rs. 7400.,banking
1181,AXISBK,"Dear customer, your OTP for banking login is 742895. Do not share it. Exp: 10 mins. -Axis Bank",otp
1182,HDFCBK,"Your card is on hold due to 3 failed attempts. To unblock, visit app or call 1800-425-1515. ₹2000 unspent credit",banking
1183,ZOMATO,Order #ZOM12345 confirmed. ETA 25 mins. Tap for dets. Enjoy 10% off on next ride. ₹120 off,promotion
1184,VERIFY,OTP: 678901 for your account login. Valid for 5 mins. Do not share pls.,otp
1185,SBIALERT,"Alert: ₹3,450 spent at Swiggy on 07/11. If not you, reply STOP.",banking
1186,10digitnum91,"Hey yaar, long time! How r u? Chalo coffee tomorrow? 😄",personal
1187,PROMO4U,Limited offer: Buy 1 Get 1 free on select SKUs. Use code B59SAVE. Ends tonight.,promotion
1188,OTPSMS,Your verification code is 493812 for LogIn on PayTM. Do not share with anyone.,otp
1189,GOIBIBO,"Your flight dets changed: new time 11:45 AM, 22 Dec. Check inbox for e-ticket. ₹0 service charge.",service
1190,ICICIBK,"Balance alert: ₹12,350.50. Available: ₹9,800.25. Trans ID: TRX987654321.",banking
1191,UBER,Your ride is on its way. Driver: Rakesh. ETA 6 mins. Fare ₹88.00.,personal
1192,SWIGGY,Your order #SWG98765 is out for delivery. Delivery partner on the way. ₹72 ayuda,promotion
1193,VERIFY,OTP 219876 for your account verification. Expires in 3 mins. Ignore if not you.,otp
1194,Myntra,Your order #MNTR55667 shipped. Tracking: MNTRTRACK123. Delivered by 6 PM tomorrow.,service
1195,9xxxx9xxxx,Pls confirm your address for the gift card. Need ASAP. Rs. 500 value.,spam
1196,KOTAKBK,"Alert: Your account login from new device. If this wasn’t you, reset password now.",banking
1197,IZIGO,Today is your lucky day! 20% cashback on orders over ₹999. Use code CASH20.,promotion
1198,MRN,Hi! Are you attending the reunion this weekend? Let me know. 😊,personal
1199,SPAMMSG,"You have won a prize! Reply YES to claim. This is not a scam, click link to verify.",spam
1200,AXISBK,Your OTP is 482910 for AXISBK online login. Do not share it. valid for 10 mins.,otp
1201,HDFCBK,"Rs. 3,450 deducted from your account on 04:32 PM, Ref: 489101. If not you, call 1860-500-4444.",banking
1202,SWIGGY,Your order #ORD12345 from Swiggy is on the way. ETA 25 mins. UID 987654,promotion
1203,10-digit 91XXXXXXXXXX,"Hey bro, long time! Buy 2 get 1 free on snacks this weekend. U up?",personal
1204,VERIFY,Your OTP for verification is 276543. Please enter to proceed.,otp
1205,ICICIBK,"Alert: ₹2,150 spent at AMAZON on 04:15 PM. Balance: ₹12,300. Ref: 572Convert.",banking
1206,ZOMATO,Your Zomato order #ZA9876 is confirmed. Delivery partner is on the way. ETA 30 mins.,promotion
1207,10-digit 91-98765-43210,"Hi Mera, pls check your bank SMS for security. Ignore if not you.",personal
1208,OTPSMS,Verification code 834129 valid for 5 mins. Do not share with anyone.,otp
1209,SBIALERT,"Alert: ₹1,250 debited from SBIBANK on 03:58 PM. Ref: SB-AX-1987.",banking
1210,GOIBIBO,Your flight is booked! PNR AB1234. Itn: GOI-2025-01-23,service
1211,INDIANPOST,Your package has been shipped. Tracking: IN12345ABC. Expected delivery: 30-45 mins.,service
1212,MYNTRA,₹399 delivery charge waived on your order. Use code FREEDEL now.,promotion
1213,UBER,"Your ride is confirmed. Driver Ravi is on the way. Vehicle: Sedan, ETA 8 mins.",service
1214,9XXXXXXXXXX,"Bro, aapke paas OTP aaya hai: 560987. Share mat karna.",otp
1215,PAYTM,"₹2,999 paid to Flipkart. Order #FLK-98765. Thanks for using Paytm.",banking
1216,FLIPKRT,FLASH SALE: 50% off on mobiles today only. Use code FLIP50 at checkout.,promotion
1217,OLACABS,Ride booked: OLACABS 4th Ave. Driver on route. ETA 12 mins.,service
1218,UNKNOWN,Caution: Your SIM may be at risk. Update security settings now.,spam
1219,UBER,Promo: Get Rs. 150 off on your next ride. Use code RS150. T&C apply.,promotion
1220,AXISBK,Your OTP is 483927 for your Axis Bank transaction. Do not share it. Valid for 10 mins. ₹2999 tag. msg,otp
1221,HDFCBK,"Your card ₹1,250 debited at POS on 07/11. Ref 983872. If not you, call HDFC ASAP.",banking
1222,ZOMATO,Order #ZM12345 confirmed. ETA 25 mins. ₹340. Tap to track in app.,promotion
1223,VERIFY,"OTP: 612490 for your login on MakeMyM, valid 5 mins. Ignore if not you.",otp
1224,INDUSBK,"Hi! Your balance ₹5,400.23 as of today. Last txn ₹1,200 from ATM.",banking
1225,SWIGGY,Your delivery is arriving in 20 mins. Order #SG9988. ₹210 in wallet.,promotion
1226,12-digit,"Heyyy, long time! How u doing? Catch up this weekend?",personal
1227,KOTAKBK,"Your account has 3 new alerts. 4:45 PM | ₹2,450 total debits today.",banking
1228,PROMO123,Flat 20% off on furnitures! Use code FURNI20. Ends today.,promotion
1229,MTNL,Service alert: Your payment failed for plan upd. Retry ₹199.,service
1230,UBER,Your ride is nearby. Driver Arjun on ₹320 route to home. ETA 7 mins.,personal
1231,ICICIBK,OTP 824561 for ICICI Online Banking. Do not share. Valid 10 mins.,otp
1232,MYNTRA,New collection drops today. Free shipping on orders above ₹999. Shop now!,promotion
1233,GOI,Your UPI payment of ₹75.00 to 9876543210 is pending. Please approve.,service
1234,SBIALERT,"Alert: Your savings account balance ₹12,540.65. Interest credited 0.02% today.",banking
1235,OTPSMS,OTP: 987654 for login. Valid for 5 mins. Do not share with anyone.,otp
1236,AIRTEL,Recharge successful ₹199 for 28 days. Thanks for using Airtel.,service
1237,UBEREATS,Your order #UE4578 is placed. ETA 18 mins. ₹480.,promotion
1238,PERSONAL,"Hey, coffee tomorrow? Ur turn to pick the cafe 😊",personal
1239,SPAMSALE,"Congratulations, you won Rs. 50,000! Click link to claim now.",spam
1240,BANKOFINDIA,Hi! Your OTP for transaction 758421 is 392018. Do not share it with anyone.,otp
1241,AXISBK,"₹1,299 charged at Zomato. If not you, call 1800-xxx-xxxx to dispute. Please confirm.",banking
1242,ZOMATO,Order #ZTM12345 confirmed. ETA 25 mins. Thanks for ordering!,promotion
1243,HDFCBK,"Hi there! Your salary credit of Rs. 38,540 has been processed. Ref: HDFC-SAL-9876",banking
1244,OTPSMS,Your OTP is 847211 for login to your account. Do not share.,otp
1245,SWIGGY,Your order from Swiggy is on its way. Delivering by 8:45 PM. 🍜,promotion
1246,GOIBIBO,Bus to Pune booked. PNR DTK2024. Check-in details sent to your email.,service
1247,ICICIBK,"RS 2,450 debited for NEFT to ABC Enterpr. Ref: 19A3JK.",banking
1248,PERSONAL,"Hey yaar, weekend plans? Lets catch up over chai tomorrow. 😊",personal
1249,VERIFY,Your verification code is 603294 for www.example.com. Share only on official site.,otp
1250,AMAZON,Your order #AMZ-9087 has shipped. tracking 1Z999AA10123456784.,promotion
1251,KOTAKBK,Rs. 520 debited for mutual fund sip. Ref: KOTAK-SIP-5544,banking
1252,9XXXXXXXXX,"Hey, this is a quick reminder for your upcoming appointment on 12 Nov at 3 PM.",service
1253,Myntra,Flash sale alert: flat 40% off on tees. Ends tonight. Use code TEE40,promotion
1254,UBER,Your ride is here. Driver Rahul will reach in 5 mins. ETA 5 mins.,service
1255,IRCBNK,"Rs. 1,200 charged for cash withdrawal at ATM. PIN changed recently? If not call 1800-222-333.",banking
1256,SPAMCALL,"Congratulations! You’ve won Rs. 50,00,000. Send hiddendetails to claim.",spam
1257,PAYTM,Payment of Rs. 740 succeeded to Ola. Ref: PAYTM-OLA-3241,banking
1258,OLACABS,Ride is confirmed. Car number DL9C 1234. Driver Rajesh on the way.,service
1259,ICICI,"Dear customer, your credit card bill of Rs. 2,150 is due on 18th. Please pay to avoid late fees.",banking
1260,AXISBK,"Your OTP is 482910 for your AXISBK online transaction. Do not share. Dt 12:45 PM, Ref: 987654321",otp
1261,HDFCBK,"Your balance is Rs. 6,540.20. Last txn +ATM: -₹1200. Ref: 4521.Thanks for banking with HDFC.",banking
1262,ZOMATO,Order #ZTM98765 placed. ETA 28 mins. Use code ZOMAFRESH for Rs. 50 off on next order.,promotion
1263,OTPVERIFY,Your OTP is 183729 for login on the app. Valid 10 mins. Ignore if not you.,otp
1264,PHONENUM,"Hey yaar, kavita ke sath coffee plan? 7pm @ Cafe XYZ. Take care!",personal
1265,SBIALERT,"Your card was used for Rs. 1,800 overseas purchase on 07:12 PM. If not you, call 1800-xxx-123.",banking
1266,SWIGGY,Delivery en route. Order #SWG112233. Estimated arrival 25 mins. Thanks for choosing Swiggy.,promotion
1267,VERIFY,OTP: 572948 for your login. Do not share with anyone. Valid for 5 mins.,otp
1268,GOIBIBO,"Flight itinerary updated: PNR NQ1234, depart 22 Dec 03:45. Check-in opens 24h prior.",service
1269,UBER,"Your ride is here. Driver Rahul will arrive in 3 mins. Vehicle: SwiftDz, Reg: KA-01AB1234.",service
1270,AMZON,Your Amazon order #AMZ-4499 has shipped. ETA 2 days. See details in your app.,promotion
1271,ICICIBK,"Alert: Rs. 2,500 debited from your account. If not you, contact ICICI customer care.",banking
1272,10DIGIMNR,"Congrats! You’ve won Rs. 1,000 cash prize. Reply YES to claim now.",spam
1273,Myntra,Your order #MN67890 has been dispatched. Track it with the code MTX6789.,promotion
1274,PAYTM,Wallet top-up of Rs. 1500 successful. Ref: PAYT-77881. Thanks for using Paytm.,banking
1275,INSURAN,Policy update: Your premium due on 15th is Rs. 799. Due date extended by 5 days.,service
1276,10DGTEXT,"Hi, just checking in after a long time. How are you doing? 😊",personal
1277,OLACABS,"Ride booked. Pickup at 5:40 PM from Home. Driver: Arun, Car: UberX. ETA 8 mins.",service
1278,KOTAKBK,OTP 439012 for KOTAKBK app login. Password not required. Keep it confidential.,otp
1279,SPAMM,Congrats! You won a free trip. Click link to claim now. T&C apply 🚨,spam
1280,AXISBK,"OTP for your transaction: 483920. Do not share. Amount ₹4,320.56 debited from your account on 12/11. If not you, call 1860-419-0000.",otp
1281,HDFCBK,"Your OTP is 237641 for transaction on 11/11. Rs. 1,200 charged. Ignore if not you.",otp
1282,ICICIBK,"Alert: Rs. 9,550 deducted from SB acc ending 8045. Ref: EMI-49201. For details, open app.",banking
1283,KOTAKBK,Promo: Get 50% off on meals with ZOMATO. Use code ZM50. Valid until 20/12. Max ₹300 off.,promotion
1284,VERIFY,Your OTP code is 764321 for login at Paytm on 11/11. Please don't share with anyone.,otp
1285,SBIALERT,"Your card Rs. 2,300 paid to FLIPKRT. Ref: FLIP-3321. If this isn't you, call 1800-225-5411.",banking
1286,ZOMATO,Hi! Your order #ORD12345 is confirmed. Estimated delivery in 35 mins. Total ₹520.,promotion
1287,MYNTRA,Heads up: Your order ORD67890 has shipped. Tracking TRK987654321. ETA 2 days. Pay ₹0 upon delivery on CODs.,service
